Title,Authors
Fate of the Sun King,Nisha J. Tuli
Gild,Raven Kennedy
Old Man's War,John Scalzi
The Anatomy of Genres: How Story Forms Explain the Way the World Works,John Truby
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson
System Collapse,Martha Wells
Squeak,Vera Valentine
The Bone Houses,Emily Lloyd-Jones
Legends & Lattes,Travis Baldree
Vampires Never Say Die,Gloria Duke
Never Split the Difference: Negotiating as If Your Life Depended on It,Chris Voss
The Land of Open Graves: Living and Dying on the Migrant Trail,Jason De León
I Got Abducted by Aliens and Now I'm Trapped in a Rom-Com,Kimberly Lemming
Ne'er Duke Well,Alexandra Vasti
The Bloody Chamber and Other Stories,Angela Carter
The Book of the City of Ladies,Christine de Pizan
Ring Shout,P. Djèlí Clark
The White Owl of Thicklewood Hall,M.A. Knights
My Roommate Is a Vampire,Jenna Levine
Seven Days in June,Tia Williams
Wild Faith: How the Christian Right Is Taking Over America,Talia Lavin
The Spare Man,Mary Robinette Kowal
The People in the Castle: Selected Strange Stories,Joan Aiken
Gender Queer: A Memoir,Maia Kobabe
Love on the Brain,Ali Hazelwood
The Archer and the Prince,Emma Steinbrecher
10 Minutes 38 Seconds in This Strange World,Elif Shafak
The Lies of Locke Lamora,Scott Lynch
Off the Hook,Julie Olivia
Drunk on All Your Strange New Words,Eddie Robson
The Warrior Midwife,E.P. Bali
Quag Keep,Andre Norton
A Darker Shade of Magic,V.E. Schwab
The Lies of the Ajungo,Moses Ose Utomi
Love in the Time of Serial Killers,Alicia Thompson
Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg
Firekeeper's Daughter,Angeline Boulley
Good Omens,"Neil Gaiman, Terry Pratchett"
The Last Watch,J.S. Dewes
Hell of a Bargain,B.P. Gilmore
Station Eleven,Emily St. John Mandel
A Wizard of Earthsea,Ursula K. Le Guin
"Self-Therapy: A Step-By-Step Guide to Creating Inner Wholeness Using IFS, a New, Cutting-Edge Therapy",Jay Earley
The Art of Logic in an Illogical World,Eugenia Cheng
The Long Ships,Frans G. Bengtsson
La Ciguapa: A Dominican Horror Folklore,Luna K. Wicked
Desire in His Blood,Zoey Draven
The Blighted Stars,Megan E. O'Keefe
