Title,Authors,KU_Availability
The Ballad of the Borag-I,A.P. Beswick,Not Available
The City of Brass,S.A. Chakraborty,Not Available
The Space Between Worlds,Micaiah Johnson,Not Available
Tastes Like Shakkar,Nisha Sharma,Not Available
The Martian Chronicles,Ray Bradbury,I am a muppet
"The Will to Change: Men, Masculinity, and Love",bell hooks,Not Available
The First Sister,Linden A. Lewis,I am a muppet
Annie Bot,Sierra Greer,I am a muppet
Red Rabbit,Alex Grecian,I am a muppet
The Unmaking of June Farrow,Adrienne Young,Not Available
Unmasking Autism: Discovering the New Faces of Neurodiversity,Devon Price,I am a muppet
Folk,Zoe Gilbert,I am a muppet
The Bride Bet,Tessa Dare,I am a muppet
Thornhedge,T. Kingfisher,I am a muppet
Godkiller,Hannah Kaner,I am a muppet
Hunt on Dark Waters,Katee Robert,Not Available
Dark Rise,C.S. Pacat,Not Available
"The Scandalous Confessions of Lydia Bennet, Witch",Melinda Taub,I am a muppet
The Mountain Crown,Karin Lowachee,Not Available
Ink Blood Sister Scribe,Emma Törzs,Available
The God and the Gumiho,Sophie Kim,Not Available
Divine Rivals,Rebecca Ross,Available
Ensnared,Tiffany Roberts,Available
Wolf Gone Wild,Juliette Cross,Available
A Hero Born,Jin Yong,Available
Pizza Girl,Jean Kyoung Frazier,Not Available
Ten Thousand Stitches,Olivia Atwater,Not Available
A Thousand Ships,Natalie Haynes,Available
Ghost Walk,Cassandra Gannon,Available
Mrs. Caliban,Rachel Ingalls,Available
Graceling,Kristin Cashore,Available
The Terraformers,Annalee Newitz,Not Available
"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Angela Y. Davis,Available
Ean,Becca Saylor,Available
Ancillary Justice,Ann Leckie,Not Available
Howl's Moving Castle,Diana Wynne Jones,Available
Asiri and the Amaru,Natalia Hernandez,Available
Sleye,Ava Ross,Available
The Female,Invi Wright,Available
Here's Looking at You,Mhairi McFarlane,Not Available
The Martian,Andy Weir,Not Available
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,Not Available
Babel,R.F. Kuang,Not Available
I Accidentally Summoned a Demon Boyfriend,Jessica Cage,Available
A Soul to Guide,Opal Reyne,Available
Nine Tailed,Jayci Lee,Available
The Practice: Shipping Creative Work,Seth Godin,Not Available
Night's Edge,Liz Kerin,Available
Riot Baby,Tochi Onyebuchi,Not Available
The Fall of Bradley Reed,Morgan Elizabeth,Available
Long Live Evil,Sarah Rees Brennan,Not Available
Defiant,Brandon Sanderson,Not Available
A Master of Djinn,P. Djèlí Clark,Not Available
There Arose Such A Clatter: Tales From The Naughty List,C.M. Nascosta,Available
The Fiction Between Us,Julie Olivia,Available
Ghost Wall,Sarah Moss,Not Available
The Winter King,C.L. Wilson,Not Available
When the Moon Hatched,Sarah A. Parker,Not Available
Kushiel's Dart,Jacqueline Carey,Not Available
The Visit,Chimamanda Ngozi Adichie,Available
Flowerheart,Catherine Bakewell,Available
The Ruin of Kings,Jenn Lyons,Not Available
Blood Over Bright Haven,M.L. Wang,Not Available
A Frost of Fear and Fortitude,A.P. Beswick,Not Available
We Are Legion,Dennis E. Taylor,Available
Caste: The Origins of Our Discontents,Isabel Wilkerson,Not Available
The Bright Sword,Lev Grossman,Not Available
Dark City Omega,Elizabeth Stephens,Available
The Fake Mate,Lana Ferguson,Not Available
The Loney,Andrew Michael Hurley,Not Available
Do Androids Dream of Electric Sheep?,Philip K. Dick,Not Available
Cultish: The Language of Fanaticism,Amanda Montell,Available
The Ghost Cat,Alex Howard,Available
Only and Forever,Chloe Liese,Not Available
The Helm of Midnight,Marina J. Lostetter,Not Available
Graveyard Shift,M.L. Rio,Not Available
The Bog Wife,Kay Chronister,Not Available
The Cruel Prince,Holly Black,Not Available
A People's History of the United States,Howard Zinn,Available
The Will of the Many,James Islington,Not Available
Spared By The Monster,Merry Ravenell,Available
Guarded Treasure,Mae Lovette,Available
Jade City,Fonda Lee,Available
Little Fire,Hollee Mands,Available
The Four Leaf,Lee Jacquot,Available
Penance,Eliza Clark,Not Available
Ace of Spades,Faridah Àbíké-Íyímídé,Not Available
Autopsy of a Fairytale,Nicole Scarano,Available
Rejar,Dara Joy,Available
Wylding Hall,Elizabeth Hand,Available
Earthlings,Sayaka Murata,Not Available
Stormfire,Christine Monson,Not Available
A Good Indian Girl,Mansi Shah,Not Available
The Fine Print,Lauren Asher,Available
The Brothers Karamazov,Fyodor Dostoevsky,Available
The Honey Witch,Sydney J. Shields,Not Available
Pine,Francine Toon,Not Available
Shadow of the Fox,Julie Kagawa,Not Available
The Lost Cause,Cory Doctorow,Not Available
Sold,Patricia McCormick,Not Available
The Umbra King,Jamie Applegate Hunter,Available
Destroyer,Meg Smitherman,Available
Vita Nostra,"Sergey Dyachenko, Marina Dyachenko",Not Available
A Broken Blade,Melissa Blair,Not Available
Leviathan Wakes,James S.A. Corey,Not Available
House of Frank,Kay Synclaire,Not Available
Glorious Exploits,Ferdia Lennon,Available
The Storm We Made,Vanessa Chan,Not Available
Open Throat,Henry Hoke,Not Available
Devil in Winter,Lisa Kleypas,Not Available
Heart of the Fae,Emma Hamm,Available
Something in the Woodshed,M.A. Knights,Available
The Salt Grows Heavy,Cassandra Khaw,Not Available
Married to a Pirate,Athena Rose,Available
Sistersong,Lucy Holland,Not Available
Mother Country,Etaf Rum,Available
Anchored: How to Befriend Your Nervous System Using Polyvagal Theory,Deb Dana,Available
Waking Up with the Duke,Lorraine Heath,Not Available
Elantris,Brandon Sanderson,Not Available
